"70BCSV 	",
// AQ6370B OPTICAL SPECTRUM ANALYZER //                 ,
25,
CTRWL,1550
SPAN,100
START WL,1500
STOP WL,1600
WLFREQ,0
REFL,-30
LSCL,5
RESLN,0.2
AVG,1
SMPLAUTO,0
SMPL,5001
SMPLINTVL,0.02
HIGH1,
MEAS,
LSUNT,0
NMSKH,OFF
RESCOR,0
RESPARM,9417
FREQPARM,9417
,
,
,
,
,
,
[TRACE DATA],
1500,-58.703
1500.02,-58.683
1500.04,-58.68
1500.06,-58.68
1500.08,-58.679
1500.1,-58.663
1500.12,-58.667
1500.14,-58.648
1500.16,-58.658
1500.18,-58.656
1500.2,-58.639
1500.22,-58.641
1500.24,-58.637
1500.26,-58.627
1500.28,-58.617
1500.3,-58.614
1500.32,-58.605
1500.34,-58.605
1500.36,-58.606
1500.38,-58.598
1500.4,-58.595
1500.42,-58.581
1500.44,-58.579
1500.46,-58.584
1500.48,-58.565
1500.5,-58.56
1500.52,-58.537
1500.54,-58.551
1500.56,-58.535
1500.58,-58.546
1500.6,-58.529
1500.62,-58.525
1500.64,-58.512
1500.66,-58.52
1500.68,-58.512
1500.7,-58.505
1500.72,-58.498
1500.74,-58.485
1500.76,-58.494
1500.78,-58.47
1500.8,-58.473
1500.82,-58.471
1500.84,-58.471
1500.86,-58.457
1500.88,-58.442
1500.9,-58.442
1500.92,-58.438
1500.94,-58.439
1500.96,-58.412
1500.98,-58.416
1501,-58.418
1501.02,-58.405
1501.04,-58.41
1501.06,-58.395
1501.08,-58.379
1501.1,-58.39
1501.12,-58.376
1501.14,-58.363
1501.16,-58.368
1501.18,-58.35
1501.2,-58.348
1501.22,-58.341
1501.24,-58.336
1501.26,-58.33
1501.28,-58.348
1501.3,-58.317
1501.32,-58.308
1501.34,-58.304
1501.36,-58.304
1501.38,-58.31
1501.4,-58.297
1501.42,-58.294
1501.44,-58.278
1501.46,-58.282
1501.48,-58.257
1501.5,-58.272
1501.52,-58.254
1501.54,-58.244
1501.56,-58.244
1501.58,-58.23
1501.6,-58.238
1501.62,-58.229
1501.64,-58.234
1501.66,-58.203
1501.68,-58.212
1501.7,-58.194
1501.72,-58.205
1501.74,-58.193
1501.76,-58.18
1501.78,-58.172
1501.8,-58.18
1501.82,-58.173
1501.84,-58.173
1501.86,-58.155
1501.88,-58.155
1501.9,-58.143
1501.92,-58.142
1501.94,-58.127
1501.96,-58.14
1501.98,-58.12
1502,-58.121
1502.02,-58.097
1502.04,-58.099
1502.06,-58.08
1502.08,-58.087
1502.1,-58.075
1502.12,-58.063
1502.14,-58.056
1502.16,-58.044
1502.18,-58.055
1502.2,-58.048
1502.22,-58.039
1502.24,-58.036
1502.26,-58.029
1502.28,-58.015
1502.3,-58.017
1502.32,-57.996
1502.34,-58.008
1502.36,-58.005
1502.38,-57.985
1502.4,-57.983
1502.42,-57.965
1502.44,-57.962
1502.46,-57.967
1502.48,-57.963
1502.5,-57.942
1502.52,-57.951
1502.54,-57.935
1502.56,-57.931
1502.58,-57.926
1502.6,-57.916
1502.62,-57.917
1502.64,-57.907
1502.66,-57.903
1502.68,-57.888
1502.7,-57.883
1502.72,-57.871
1502.74,-57.887
1502.76,-57.862
1502.78,-57.845
1502.8,-57.855
1502.82,-57.838
1502.84,-57.836
1502.86,-57.826
1502.88,-57.826
1502.9,-57.806
1502.92,-57.811
1502.94,-57.799
1502.96,-57.791
1502.98,-57.788
1503,-57.775
1503.02,-57.767
1503.04,-57.763
1503.06,-57.762
1503.08,-57.75
1503.1,-57.738
1503.12,-57.738
1503.14,-57.738
1503.16,-57.726
1503.18,-57.715
1503.2,-57.717
1503.22,-57.711
1503.24,-57.698
1503.26,-57.695
1503.28,-57.684
1503.3,-57.683
1503.32,-57.677
1503.34,-57.67
1503.36,-57.66
1503.38,-57.647
1503.4,-57.642
1503.42,-57.641
1503.44,-57.632
1503.46,-57.624
1503.48,-57.62
1503.5,-57.614
1503.52,-57.609
1503.54,-57.595
1503.56,-57.59
1503.58,-57.58
1503.6,-57.572
1503.62,-57.572
1503.64,-57.559
1503.66,-57.561
1503.68,-57.554
1503.7,-57.531
1503.72,-57.543
1503.74,-57.529
1503.76,-57.518
1503.78,-57.503
1503.8,-57.504
1503.82,-57.503
1503.84,-57.503
1503.86,-57.489
1503.88,-57.476
1503.9,-57.474
1503.92,-57.468
1503.94,-57.456
1503.96,-57.448
1503.98,-57.45
1504,-57.432
1504.02,-57.436
1504.04,-57.416
1504.06,-57.416
1504.08,-57.41
1504.1,-57.398
1504.12,-57.397
1504.14,-57.391
1504.16,-57.378
1504.18,-57.38
1504.2,-57.377
1504.22,-57.355
1504.24,-57.346
1504.26,-57.338
1504.28,-57.332
1504.3,-57.331
1504.32,-57.326
1504.34,-57.317
1504.36,-57.312
1504.38,-57.301
1504.4,-57.297
1504.42,-57.287
1504.44,-57.29
1504.46,-57.271
1504.48,-57.27
1504.5,-57.258
1504.52,-57.253
1504.54,-57.245
1504.56,-57.232
1504.58,-57.215
1504.6,-57.216
1504.62,-57.22
1504.64,-57.202
1504.66,-57.198
1504.68,-57.206
1504.7,-57.196
1504.72,-57.179
1504.74,-57.181
1504.76,-57.175
1504.78,-57.165
1504.8,-57.161
1504.82,-57.147
1504.84,-57.137
1504.86,-57.137
1504.88,-57.122
1504.9,-57.113
1504.92,-57.106
1504.94,-57.098
1504.96,-57.082
1504.98,-57.087
1505,-57.083
1505.02,-57.068
1505.04,-57.059
1505.06,-57.057
1505.08,-57.048
1505.1,-57.033
1505.12,-57.024
1505.14,-57.026
1505.16,-57.02
1505.18,-57.008
1505.2,-56.992
1505.22,-56.993
1505.24,-56.98
1505.26,-56.971
1505.28,-56.975
1505.3,-56.956
1505.32,-56.943
1505.34,-56.938
1505.36,-56.937
1505.38,-56.93
1505.4,-56.922
1505.42,-56.909
1505.44,-56.895
1505.46,-56.889
1505.48,-56.891
1505.5,-56.875
1505.52,-56.869
1505.54,-56.862
1505.56,-56.848
1505.58,-56.838
1505.6,-56.833
1505.62,-56.818
1505.64,-56.816
1505.66,-56.82
1505.68,-56.794
1505.7,-56.8
1505.72,-56.789
1505.74,-56.773
1505.76,-56.772
1505.78,-56.769
1505.8,-56.748
1505.82,-56.748
1505.84,-56.735
1505.86,-56.729
1505.88,-56.719
1505.9,-56.721
1505.92,-56.706
1505.94,-56.697
1505.96,-56.694
1505.98,-56.68
1506,-56.681
1506.02,-56.664
1506.04,-56.663
1506.06,-56.653
1506.08,-56.638
1506.1,-56.639
1506.12,-56.632
1506.14,-56.631
1506.16,-56.61
1506.18,-56.615
1506.2,-56.603
1506.22,-56.592
1506.24,-56.584
1506.26,-56.586
1506.28,-56.57
1506.3,-56.562
1506.32,-56.565
1506.34,-56.539
1506.36,-56.547
1506.38,-56.528
1506.4,-56.521
1506.42,-56.517
1506.44,-56.502
1506.46,-56.498
1506.48,-56.49
1506.5,-56.49
1506.52,-56.476
1506.54,-56.462
1506.56,-56.454
1506.58,-56.455
1506.6,-56.44
1506.62,-56.439
1506.64,-56.421
1506.66,-56.416
1506.68,-56.409
1506.7,-56.41
1506.72,-56.392
1506.74,-56.384
1506.76,-56.375
1506.78,-56.362
1506.8,-56.367
1506.82,-56.359
1506.84,-56.336
1506.86,-56.333
1506.88,-56.329
1506.9,-56.321
1506.92,-56.307
1506.94,-56.294
1506.96,-56.289
1506.98,-56.284
1507,-56.278
1507.02,-56.264
1507.04,-56.263
1507.06,-56.247
1507.08,-56.25
1507.1,-56.237
1507.12,-56.227
1507.14,-56.226
1507.16,-56.21
1507.18,-56.202
1507.2,-56.194
1507.22,-56.184
1507.24,-56.179
1507.26,-56.172
1507.28,-56.166
1507.3,-56.161
1507.32,-56.152
1507.34,-56.135
1507.36,-56.132
1507.38,-56.119
1507.4,-56.115
1507.42,-56.108
1507.44,-56.091
1507.46,-56.082
1507.48,-56.084
1507.5,-56.068
1507.52,-56.057
1507.54,-56.059
1507.56,-56.042
1507.58,-56.033
1507.6,-56.026
1507.62,-56.01
1507.64,-56.009
1507.66,-55.994
1507.68,-55.983
1507.7,-55.976
1507.72,-55.962
1507.74,-55.958
1507.76,-55.963
1507.78,-55.946
1507.8,-55.935
1507.82,-55.924
1507.84,-55.916
1507.86,-55.906
1507.88,-55.898
1507.9,-55.893
1507.92,-55.883
1507.94,-55.869
1507.96,-55.868
1507.98,-55.854
1508,-55.852
